,corrected
226,معلوم أن معظم الطلاب يرغبون بالعلم الشرعي بما يساعدهم في نشر الدعوة ، وكذلك أحب بأن ألتحق بكلية ؛ الشريعة أن لأنني سبق كنت أصلي بالناس في بعض مساجد بوجومبورا ، وخطيبا ؛ في في صلاة ـ ـ الجمعة لهذا أرغب هذه الكلية الشريعة لتكون عونا لي في قضية الدعوة بنشر العلم الشرعي وطرد البدعة والروافضة .
227,"الآن أدرس في معهد اللغة العربية لغير الناطقين بها . عندما أتخرج ـ من المعهد إن ـ شاء الله أدخل في كلية . الدعوة وأصول الدين أنا أحبها كثيرا ؛ لأنه فيها مواد بالشريعة الإسلامية . أريد أن ؛ أدرس بالدعوة وأصول الدين كي أفهم الدين الصحيح وأدعو الناس إلى الإسلام كي يفهم الناس الإسلام جيدا . هذا الأمر مهم جدا للعالم الآن لايأني ني بل واجب على العالم كي ينشر الإسلام ويدعو ، إلى الإسلام كما "" : قال "" الرسول صلى الله عليه وسلم العلماء ورثة الأنبياء ."
228,قصة  . بسم الله الرحمن الرحيم . الاسم ـ معلومة شخصية محذوفة ـ   من جزر القمر ،     السنة الجامعية :  في المستوى الثالث . بداية   أتحدث     عن السفر إلى هنا إلى  السعودية . بداية جئت هنا مع ، أهلي ، ، مع والدي ووالدتي   وإخواني ، و وبعد بعد ذلك  أن  إلى السعودية ، وكانت رحلة جميلة ، و              أوراقي -   وسمعت طالبات  يعني يحكون عن يحكين الأميرة نورة ، و - ويعني فكرت في ا       أوراقي هناك ، وبعد ذلك أ -   في المعهد الغة معهد إلى اللغة درست مستوى وسأدرس المستوى أ -        وبعد - قدمت   أقدم في - . وكانت بداية أ  البداية   - معهد         اللغة العربية   العربية لتحسين عندما كنت . في  تحسنت لغتي كثيرا من ناحية أ - القواعد   وبعد ذلك - فكرت في  يعني ف  في ؛  العربية لأنها لغة القرآن بنا و - تقديم وتتقدم يعني اللغة ، العربية و - أشق وأشق عليكم .
229,الرحلة إلى فولاو فينغ . الحمد لله ، نعرف أن الرحلة هي من الأشياء المميزة في حياة الإنسان ، وهي من فضل الرب - الجليل ، - تبارك وتعالى الذي جعلنا في هذه الدنيا له نعم عظيمة لا نحصاها . كذلك أنا كنت أذهب إلى فولاو فينغ . في المنطقة الغربية بماليزيا لست وحدي ، ، لست وحدي ذهبت ، ، مع أسرتي لا تخلو فيها أختي وأمي وأبي . كلنا نتجمع ونشارك ؛ في هذه الرحلة . هذه فرصة سعيدة لنا لأن ، ليس . لنا وقت يجمع بيننا معا في نفس اليوم ونفس المكان تعرفون أنتم أننا نسكن في أماكن متفرقة لأجل العلم والدراسة . كانت هذه الرحلة في الإجازة الصيفية في منتصف العام . أبي هو كان القائد في هذه الرحلة . كذلك ، أمي هي ، : كانت القائدة في ركن الأطعمة ، تطبخ الطعام اللذيذ وتجهز بعض الأشياء مثل الشراب ونحو ، : ، ذلك ، . أنا ، مع أخي الكبير نشتري بعض الأشياء التي نطلبها لإقامة الرحلة هناك مثل الخيمة ، وإشعال النار والحطب ، والكبريت وكل شيء احتجناه حينما وصلنا إلى مكان الرحلة . تمنينا أن نقيم المشويات هناك وأن نلعب سويا .
230,رحلتي إلى مكة المكرمة . الرحلة التي سأتكلم عنها هي رحلتي للعمرة مع مجموعة جامعة الملك سعود . هي كانت أول رحلاتي إلى بلد الحرم المكي . وفعلا أنني ، سعيد وأشكر الله على هذه الفرصة الذهبية . أنا طالب في هذه الجامعة ، ولقد قضيت هنا في ما مملكة السعودية يقارب مدة ثمانية أشهر . فأنا الآن في الفصل الثاني الدراسي في معهد اللغة العربية . لذلك اعتمرت في الفصل الأول الدراسي . أعطت الفرصة للعمرة من إدارة المناح لكل الطلاب الجدد فقط . الذي ، قد ذهب إلى العمرة فلا يجوز له أن يشارك مرة أخرى . حصلنا الحقيبة من جامعة الملك سعود لنحملها في رحلة . كانت هناك رحلتين ، الرحلة إلى مكة المكرمة ، أو إلى المدينة المنورة ، فاخترت الرحلة - إلى مكة . - عددنا الذين ذهبوا إلى مكة يساوي الحافلة الواحدة . فاستخدمت الحقيبة التي حصلت ، من الجامعة ، ووضعت فيها الملابس ومتاعي الذي أحتاج إليه في السفر . كانت المغادرة تبدأ ظهرا . ، كما ذكرت قبل قليل أنني طالب جديد فلذلك لم أعرف أحدا من - هذه - الجامعة . فتعرفت بهم في هذه الرحلة ولله الحمد . بعض الطلاب الذين ركبوا معي قد يصلوا بالكلية إلى الكلية  الماجيستر ، ، وحتى في مرحلة الدكتوراه . هؤلاء قد حصلوا هذه الفرصة وبعضهم قد رشح ليكون مشرفا للطلاب الجدد في هذه الرحلة المباركة ، وخطط لنا بعض المسابقات في أثناء الرحلة ، فاستفدت كثيرا منها .
231,العقيدة الإسلامية ومدارسها ، والمجدد على ملة الرسول ( ص ) . بسم الله الرحمن . الرحيم ، الحمد لله والصلاة والسلام على الأستاذ العالم . أنا بالذات أرغب أن أتخصص في ؛ كلية أصول الدين لكي ؛ أدرس العقيدة الإسلامية بذاتها لأنني أريد أن أكون مجددا لهذه الأمة في بلد وغيره . ؛ فكري عن : اختيار هذا المجال لأنني كنت أتفكر كيف تدين كل دولتي بالإسلام وعقيدتها ، ويوجد حولي ، من تخصصوا في المجال هذا ، من دولتنا . لكن ما أستفيد منهم إلا بالقليل وعددهم قليل جدا ويوجد بعض أصدقائي يرغبون في هذا المجال لكي يقوموا بالدعوة في بلدنا عند وصولهم فيه . لا إشكال أن أسرتي كلهم لا يمنعوني ، عن التخصص في هذا المجال مهما ، كان ، . الآن تركتهم وأتيت هنا لكي أدرس من لأجل الدين الله هو : العلي ؛ ومع ذلك ، ما يمنعوني عنه ، . والذي أخافه الوصول ، إلى هذا التخصص هو مجال الإنفاق لأنني الآن متزوج وقد تركت عملي وأهلي وما لدي عمل لأنفق عليهم لكن  أعرف أن الله على كل شيء قدير .
232,نشكر الله ، ثم نستريح ، ونتمتع فيها . هناك أذكر أن الحب في الأسرة هو الذي الحب لا - ينتهي أبدا . - بإذن الله تعالى انتهى .
233,قصة . السلام ، عليكم ، . ورحمة الله وبركاته الحمد لله رب العالمين ، والصلاة والسلام على سيد المرسلين ، ، ، وخاتم النبيين ، محمد وآله ، وصحبه أجمعين ، ومن تبعهم بإحسان ودعا بدعوتهم إلى يوم الدين . أما بعد : فإني أشكر الله ربي أولا شكرا جزيلا على هذه النعمة التي أسعدني الله بها في حياتي ، وحقق أحلامي ؛ لأني كنت أحلم منذ صغر سني  بمواصلة الدراسة العليا في هذه المملكة العربية المقدسة ، وهذا كان حلما في حياتي كنت ، أعجله ليلي ونهاري ، - ولكن - لم أتخيل ولم أتصور قط أن الله سبحانه وتعالى سوف يستعجل ، تحقيق حلمي على مثل هذا الطريق . فقد كنت مفاجأ إذ وجدت رسالة من قبل جامعة الملك سعود ليلة العشر الأواخر من ، شهر   يوليو الماضي . فذات ليلة كنت أشتغل بالأعمال إذ وجدت رسالة من جامعة الملك سعود التي في الحقيقة أني أعتبرها رسالة كانت تحمل في طياتها رسالة جديدة لحياة جديدة ، وآفاقا جديدة لسمائي . فهذه الرسالة هي كانت إشعار قبول ، ، وإني بعد أن استلمت هذه الرسالة ، وبعد أن - عثرت - على محتواها وما تحمله في طياتها خررت لربي سجدا . فإن الله سبحانه وتعالى من علي برحمة قد حرم منها  كثير من الطلاب من مشارق الأرض ومغاربها . وأنتم تعلمون أن آلافا من الطلاب يقدمون الأوراق اللازمة ، ويقدمون طلبهم كل سنة في جامعة الملك سعود للالتحاق بها ، ولكن بعض منهم ، بل إني أقول - عدد - ضئيل قليل جدا الذين هم يكونون ، مقبولين في كل سنة . فإذا - أدرجني - الله ، سبحانه وتعالى في تلك الزمرة المباركة . هذا الشعور وهذا الإحساس الذي قد جعلني أسجد لله سبحانه وتعالى ، وجعلني وجعل عيوني تسح الدموع سحا . وبعد ذلك أسرعت لإتمام الإجراءات للحصول على تأشيرة الدخول في  المملكة العربية السعودية . وبعد تقريبا خمسة عشر ، يوما قد تمت إجراءات ، وقد حصلت على تأشيرة الدخول في  المملكة العربية السعودية ، وكان معي خمسة طلاب آخرين الذين قد قبلوا مثلي في جامعة الملك سعود .
234,كانت القلعة جميلة جدا ، وأخذنا صورا كثيرة . وبعد ، ذلك ركبنا تاكسي إلى بيوت البدو المبنية بالتراب . لما ، وصلنا إليها رحب الرجل البدوي بنا كأنه من التقينا مع ، بعض قبل . ، لذلك كنت أشعر أنه غريب حتى وجدت ، أنه يحصل بعض النقود من المسافرين ، واستضافته ليست مجانية ، . وبعد كل شيء ركبنا سرفيس إلى حماة واسترحنا في فندق هناك . لم ؛ يعجبني السفر كثيرا ( كانت خبرة ، جميلة طبعا ) لأن رمى ناس في حماة أحجارا علينا ، وقالوا كلمات سيئة دون أي سبب . ولكنني أشتاق بسوريا لسوريا الزمن أحيانا هذه الأيام في السعودية . وإذا تنتهي انتهت الحروب والمظاهرات سوريا ، أريد أن أسافر إليها .
235,أنا قادم إلى الرياض . بسم الله الرحمن . : الرحيم أولا - - أنا شاكر لله تعالى الذي أعطاني هذه الفرصة الذهبية كي أنا أسافر إلى الرياض لتعلم اللغة العربية . حينما وصل إلي خبر جميل عن قبول اسمي في معهد اللغة العربية بجامعة ، الملك سعود لتعلم اللغة العربية التي ، أحبها حبا ، جما منذ بداية تعلمها فلتقيته بفرح عظيم كاد قلبي يطير في الهواء ، من ، هذا الفرح العظيم . ثم أخبرت أمي وأبي و وكل العائلة ، و أصدقائي وأصدقائي ، و خارج القرية وخارج الخبر ، العظيم ففرحوا فرحا عظيما في تلك اللهجات و قدموا لي ، في اللحظات وقدموا التوفيق لنجاحي : التهنئة القلبية والتوفيق الإجراءات المهمة للسفر ، فأولا حصلت ، على إشعار القبول . ارسل إلي من إدارة المنح وذهبت أرسل وزارة التعليم العالي التي تقع في مدينة لكناؤ العاصمة ولاية اترابراديش لتصديق الشهادة الثانوية التي بولاية أترابراديش في مايو من العام 2009 من الجامعة الإسلامية خير ، العلوم ، ، سدارتنغر يو ؛ بي . أثناء ذهاب سيدهارت نغر يوبي منفردا ، فواجهت عديد من المشكلات ، لأنني كنت غير معروف عديدا ، هذا العمل الخص و كنت في مكان . جديد و الخاص ، وكنت عن الطريق و ما وليس عن هذا العمل الرسمي ولكن وما الصعوبات أكملت هذا العمل بالنجاح ، الحمد لله .
236,لذا ، أسأل الله أن أكون كما تمنى والدي .
237,الشريعة . الحمد ، لله والصلاة والسلام على رسول الله . وبعد : ولا شك أن علم الشريعة واجب على كل مسلم إلى حد أن يقضي حياته على ، الطريق الصحيح ويعرف الحلال والحرام ، . ولكن أنا فأرغب أصول الدين . لأتخصص ، - في - علم الحديث مع ذلك سأختار بإذن الله كلية الشريعة بأسباب : ، 1 - أنا أعيش في ، منطقة البدع والخرافات والناس لا يعرفون المسائل حتى الصلاة مع  أن الصلاة ، واجبة . ، 2 - العلماء في بلدنا يفتون بغير علم أو يفتون بمذهبهم لا بالكتاب والسنة . 3 - الناس يحتاجون إلى المسائل أكثر من غيرها . 4 - عندنا ، لا يوجد العالم الذي ، درس الشريعة . فبهذه الأسباب سأختار ، كلية ، الشريعة مع ذلك أرغب ، في الحديث ولكن لا يحصل العلم إلا ، لنفسه أولا ثم للناس فلابد أن أراعي الناس وأحصل ما ، يحتاجون ، . وزملائي الذين يعرفون منطقتنا فهم هم يحثوني على ، . أعرف في أن هذا المجال دقة الدقة ، التام والصبر إلي إلى أصل المقام . ولا شك أن علوم من الشريعة هي أفضل العلوم تحت السماء وفوق الأرض وبدونها لاحياة لا حياة مثل الأنعام ، . علي على مسلم أن يتعلم الشريعة ما يكفيه من الحلال والحرام .
238,التخصص في علوم القرآن والتفسير . إني أرغب في التخصص في علوم القرآن والتفسير . وذلك لأني حفظت القرآن في الصبا ، و وأريد أفهم الآيات ، وما وراءها من المعاني والمطالب ، ، والمفاهيم على الوجه الصحيح . فما زلت فمازلت اللغة العربية وعلومها ، و علوم السنة وعلوم لكي أفهم القرآن ؛ فأكثر . فللقرآن علوم تتشعب منه ، فأريد أن أتخصص في هذه العلوم حتى أتمكن من إدراك معانيه الصحيحة ، وفهمها على منهج الصواب . و يمكن لي الاسترشاد ويمكن علاج ، المشاكل التي تهمنا اجتماعيا وعالميا بطريق علمي رشيد . ومما أحسست في أهمية اختيار هذا التخصص أن هناك قلة الممارسة بترجمة آي ( القرآن ) إلى اللغات بترجمته أي وهي عمل تحتاج إلى الدقة وهو الفكري يحتاج فهذه فجوة ، لاحظتها فعزمت على ملأها – - بإذن الله . ملئها - كثير من الناس وكذلك هذا الزمان من يترجم أو يفسر الآيات ، بطريق يوافق أغراضهم و أفكارهم لا تكون مخلصة وأفكارهم هذا إلى فساد البيان ، ومغالطة الفهم ، ، وهذا أمر خطير لما فيه من أضرار المجتمع الفكرية والشعورية . فلذا إضرار هذا الفكري والشعوري حفاظا لكتاب ، اخترت هذا التخصص حفاظا
239,الرحلة إلى مكة والمدينة المنورة . كان لي صديق في جامعة أم القرى ، وصديق في الجامعة الإسلامية بالمدينة المنورة . هما دعواي ، إليهما وأجبراني في دعوتهما حتى اتفقت مع زميلي الذي يدرس في كلية التربية بأن نسافر إلى مكة والمدينة المنورة . فحصلت على الإجازة بين الفصلين الماضيين ، وخرجنا من السكن بالسيارة متجهين إلى مكة المكرمة . ذهبنا ، إلى ، المحطة وأخذنا النفط ، وكان زميلي قائدا لسيارته وأنا كنت بجانبه مساعدا ، له في هذا السفر الطويل حتى خرجنا من مدينة الرياض . في الطريق رأيت المناظر الجميلة ، ، والمزارع الكبيرة ، والصحراء الواسعة حتى وصلنا إلى مكة المكرمة بصعوبة . وتعبنا جدا لمشقة السفر ؛ لأني ما سافرت المسافة الطويلة بالسيارة قبل هذا . فتلاقيت بسرور عظيم مع صديقي الذي كان في انتظاري ، في جامعة ، أم القرى ، وسلم علينا واستقبلنا بأهلا وسهلا وكنا من الفرحين بهذا اللقاء بعد أربع سنوات . وكاد قلبي يطير في الهواء ، بهذا اللقاء المسرور . ذهبنا إلى غرفته لكي أستريح ، حتى نمت ساعة أو ساعتين . ثم استيقظنا من النوم وذهبنا إلى الكعبة المشرفة بالإحرام .
240,حياتي . بسم الله الرحمن . الرحيم كان والدي من الذين تخرجوا من ، هذه المملكة وحتى ، جدي من جهة وهو الذي أثر على نفسي لأكون ؛ طالبا في العلوم الشرعية ، لأنه تخرج من ، جهة إنجليزية فعرف عن الدراسة الإنجليزية ، فأجبرني جدي أن أدخل في الدراسة ، ، الإسلامية فأشكر الله على ذلك . ، فتعلمت بالابتدائية والمتوسطة والثانوية حتى الكلية بكلية الدعوة والدراسة الإسلامية وكلية الشريعة في الجمعية التي تخرجت فيها . ولكن تمنيت أن أطلب العلم في المملكة السعودية ، في كل صلاتي . تمنيت أن أكون عالما وداعيا إلى الله والحمد لله ، ، فأجاب دعائي حتى أصبحت من طلاب المعهد . وإذا انتهيت من المعهد أريد . أن ألتحق في كلية أصول ، : الدين بالآن في بلدي الذين تخرجوا من العلوم الشرعية وفي هذا العصر تكثر العقائد هنا مثل الشيعة ، - ، الأشاعرة - ، الصوفية ( جماعة التبليغ ) ، وغيرها . وإذا تخرجت من ، هذا التخصص سأكون إن شاء الله داعيا ومدرسا في الجمعيات والمعاهد في بلدي لهذا المجال . وإن شاء الله سأضع في بعض المساجد في بلدي برامج لتلقي الدروس والمحاضرات في بعض المساكن .
241,الرحلة في أوروبا . كانت هذه الرحلة إلى أوروبا قبل ثلاث سنوات تقريبا ، وكانت في بعض دول أوروبية ، مثل : فرنسا ، سويسرا ، النمسا ، إيطاليا ، وسلوفينيا . وبدأت هذه الرحلة من بلدي ألبانيا مباشرة إلى ، سلوفينيا وكنت أنا وبعض الأصدقاء . وعندما وصلنا إلى ليوبليانا ، عاصمة سلوفينيا ذهبنا إلى أحد الفنادق الموجودة ، . وبعد ذلك زرنا ، كل ، الأماكن المشهورة فيها وبعد يوم ذهبنا إلى المطار للذهاب إلى روما في ، إيطاليا . عند ، وصولنا إلى روما ذهبنا إلى ، فندق أيضا وكنا : لزيارة أجمل الأماكن المشهورة ، فيها وأكلنا ، الطعام الإيطالي مثل . البيتزا والاسباجيتي . وبعد يوم رجعنا إلى المطار وأخذنا الطائرة ، إلى سويسرا بعد ثلاث ساعات تقريبا وصلنا فيها . وكان بلد جميل جدا وكانوا ، الناس يتعاملون بالنظام الشديد بينهم . وهذه ، بلاد بلد غالية ايضا . أيضا التسوف التسوق ، شرا شراء . وبعد ما زرنا ، سويسرا ذهبنا إلى فرنسا في باريس وباريس مدينة جميلة ورائع ورائعة مثل ما يقولون أنها مدينة الحب فعلا أنها تجذب الناس من كل العالم .
242,"التخصص في المستقبل . بسم الله الرحمن . الرحيم الحمد لله الذي خلق الخلق ، واختار من خلقه الإنسان ، وأكرمه إكراما عظيما ، وقال في كتابه "" الكريم : ولقد كرمنا بني آدم وحملناه في البر والبحر ورزقناه "" ورزقناه إلى آخر - الآية - . الله سبحانه وتعالى ، علم الإنسان ما لم يعلم وفرض "" طلب العلم علينا ، "" وقال : اقرأ باسم ربك - الذي خلق إلى - "" آخره . وقال رسول الله صلى "" الله عليه وسلم : طلب العلم فريضة على كل مسلم ومسلمة . أنا طالب في معهد تعليم اللغة ، العربية في جامعة الإمام محمد بن سعود الإسلامية . وإن شاء الله أريد أن ألتحق بكلية أصول الدين لأجل العقيدة . إذ هي أصول الدين ، ولا يكون دين الإنسان كاملا إلا بالعقيدة ، الصحيحة ، . لذلك اخترت ، أصول الدين . الناس في بلدي يحتاجون ، فهم الدين ويخطئون في العقيدة هم يعبدون ، الله ولكن ، كثير منهم ، يميلون إلى ، الشرك في عباداتهم وأنا فقط طالب العلم ، في بلدي . . أحيانا لما كنت أجادلهم ، هم يأتون ببدائل ؛ وليس عندي علم وجئت هنا لأتعلم . إذا رجعت إلى بلدي سأجادلهم بالتي هي أحسن وأتمنى بعد انتهائي من الكلية أريد أن أبني المعهد لكي يأتي الطلاب يتعلمون فيه ."
243,"التخصص : كلية أصول . الدين أرغب في هذه الكلية لأغراض كثيرة ؛ لأن في بلدي كثير من الناس يخطئون في - عبادة - الله سبحانه وتعالى ، ولم يفهموا حقيقة التوحيد . إذا لم ، يفهم التوحيد كما ينبغي فكيف تعبد ربك ؟ وشاهدت ، بعض الناس هم ، يعبدون الله وهم ، مشركون . جلست أصول ؛ وفكرت . وبعد ذلك عزمت على الالتحاق - بكلية - الدين لأنها توضح لي حقيقة التوحيد . والله يقول سبحانه وتعالى في محكم تنزيله : ""  إن الله لا يغفر أن يشرك به ويغفر ما دون ذلك لمن يشاء ومن يشرك فقد ضل ضلالا بعيدا "" . وفهمت في هذه الآية أن الله لا يغفر للمشرك . أنا أرى في بلدي الناس يتبعون أصحاب خرافات والهوى ، ، الذين يجعلون أنفسهم ، علماء مع أنهم لا يعرفون شيئا . لذلك بعد ما ؛ انتهيت من أصول الثانوية قدمت طلبا إلى ، ، جامعة الإمام - محمد بن - سعود الإسلامية في الرياض لكي ألتحق ، بكلية الدين ، وسأرجع إلى بلدي وأناقشهم وأفهمهم وأتباعهم بإذن الله تعالى ، . إذا نظرنا إلى آخر زماننا كثيرة فيها فيه وإتباع وأتباع ، وقريتي خاصة سأرجع إليهم ."
244,كنت جالسة وقتا طويلا ، لا أستطيع الحركة ، وجاءت حافلة أخرى ، طلب السائق من المدير أن نركب ، بشرط على كل واحد أن منا يدفع خمسين ريالا . لكن هذه كان ، الحافلة سائقها ، مخدرا فحصل خصومة بينهم وكانوا يتشاجرون ، مع بعض . الحمد لله وصلنا إلى الرياض في حفظ الله .
245,ومن هنا ، ذهبنا إلى المسجد الحرام أيضا لصلاة ، المغرب فصلينا المغرب والعشاء ثم رجعنا إلى المسكن للاستراحة حتى الصباح . وفي الصباح بدأنا استعدادنا للرجوع إلى الرياض . وصلنا إلى الجامعة ليلا ، وكانت هذه  ثاني مرة ثانية فيها ،  أسافر للرحلة ولذلك إلى دائما أرغب في السفر مثل هذه الرحلة ؛ لأن السفر إلى الأماكن المهمة يجعل ، الإنسان يعرف كثيرا من ، المعلومات ولا سيما عن ، تاريخ الإسلام وتعرف شيئا عن الحياة الدنيا والأحداث بعد بعثة الرسول صلى الله عليه وسلم .
246,بعد ذلك صلينا صلاة الظهر معهم ، وكانوا إمامنا أمامنا الصلاة ، بعد الصلاة ذهبوا ذهبنا إلى أبا الشيخ . ثم بعد ذالك . ذلك
247,"ثم    استعددنا للسفر ،  ثم  ركبنا السيارة ، وبعد ذلك سرنا في الطريق التي      سرنا       فيها من قبل   في ذهابنا     إلى هذه الحديقة ، وبعد ذلك    بساعتين  وصلنا إلى  في بلدنا ، ثم كل واحد قد شكر الله سبحانه وتعالى  على نعمه    العظيمة ؛ لأنه  ليس هناك مشكلة    في السفر . وبعد ذلك كل واحد منا قد رجع  سعيدا ،   وأتمنى أيها الإخوة   أن أرتحل مرة  ثانية ؛ لكي    أستفيد منها  ؛ لأن الرحلة  لها فوائد   ، كثيرة مثل أن نتفكر في ، مخلوقات الله وأن أن لا    ننسى أن وجودنا في هذه الدنيا مؤقت ، كما قال الله سبحانه وتعالى : "" كل من عليها فان ، ويبقى وجه ربك ذو الجلال  والإكرام "" ،     آسف أن أو عفوا ؛ على كلامي ليس واضحا لأنني كما تعرفون قد    قد درست    اللغة العربية    خلال  سنة واحدة ، فقط . وإلى هنا السلام عليكم ورحمة الله وبركاته ."
248,تخصصي في المستقبل . لما ننظر إلى العالم الإسلامي اليوم ، نرى كثيرا من المشكلات وقع المسلمون فيها ، : ونتساءل ما الحل ؟ وماذا نفعل حتى نساهم في إصلاح أمتنا ؟ منذ أن بدأت بالاتزام بالدين وتركت الجاهلية ، بدأت بالتعرف على أحوال المسلمين اليوم وفي التاريخ ، فعرفت أنا قد كذب علينا في المدارس الابتدائة والثانوية في ديار الكفر التي تربينا فيها ، وأن العصور الوسطى لم تكن عصور الظلام والانحطاط العام - كما قيل لنا - بل كانت ، ، عصور الازدهار والنمو والارتقاء المعنوي والحسي ، لكن عند المسلمين . كنا ندرس أن الحضارة كلها كانت في أوربا ، ، ، ودرسنا تاريخ الفراعنة واليونان والروم ، ثم قفزنا فوق ألف عام من تاريخ المسلمين المجيد العظيم ، ، وبدأنا بدراسة النهضة الأوربية ، فلذلك معظم المسلمين عندنا لا يعرفون شيئا عن تاريخهم ، بل يستحيون منه ويظنون أنا ما لم نقدم شيئا إيجابيا للعالم ، وذلك ذكر بابا فاتيكان ، - بندكت . لما تعرفت على تاريخنا العظيم وعقيدتنا السليمة التي توافق العقل الصريح الصحيح والفطرة السليمة ، ، عرفت تفاهة الحضارة الغربية المعتمدة على تطوير المادة المجردة وإشباع الغرائز الحيوانية في الإنسان فقط ، وعرفت دناءة فلسفاتهم الضالة ، ، ، المضلة ، التي لا تساوي شيئا مقارنة ، بعقيدتنا ، في وضوحها وعمقها وسهولتها وثمراتها الطيبة العذبة ، والذي ذاق المر واللذيذ اللذيذ الطيب يعرف قيمته ويقدره أكثر من الذي لم يذق المر .
249,"كنت أريد أن أبكر ؛ لأني أن أريد أصل  إلى مكة مكرمة حتى في حلمي . ثم انتهينا من عملنا ، ثم استقرينا في فندق قريب للراحة هناك . وفي اليوم التالي ذهبنا إلى المدينة المنورة ، أولا ذهبنا إلى ، جبل أحد وهناك ، كثير من الناس والعديد المختلف البائني "" التمرات "" صعدنا إلى جبل أحد . ثم ، ذهبنا إلى ، مسجد قباء صلينا هناك ، ركعتين وبعده زرنا مسجد المدينة المنورة وهناك تنتهي رحلتي ."
250,أرغب وأتمنى في أيام المستقبل أيامي أن أكون طبيبة إن شاء الله ، وأتمنى هذا التخصص منذ صغري ، أحب هذا التخصص من أعماق قلبي ، وكلما رأيت طبيبة أو ذهبت إلى مستشفى أشعر بالسعادة والتمني ، لدي عظم قوي لهذا ، التخصص حيث أستخدم كل وسيلة  تقربني إليه . اخترت هذا التخصص لأن لدي موهبة فيه منذ الابتدائية حيث درست ما يختص به . وأيضا أرى أن هذا التخصص منتشر في بلدي بلدي أن هذا التخصص منتشر ، بين الرجال مما يسبب إظهار عورات أخواتنا في الإسلام في الإسلام تظهر عوراتهن لهم للعلاج في حالات الولادة وغيرها . وعندما أفكر في هذا ، الشيء أشعر بحزن وأيضا تقوى أمنيتي  أن أكون هذه الطبيبة لكي أساعد المسلمات في بلدي ، وأيضا من ينجح في في هذا التخصص ، يحترمه الناس بلدي من كبارهم وصغارهم وهو يتعرف على اختيار كثير ؛ الناس مختلفين . شجعتني أسرتي في هذا التخصص ولذلك حين أتذكر تشجعيهم يكون عظمي أقوى على التخصص . وفي مرحلة الثانوية شجعني المدرسون على أن أمشي ، جيدا على طريق ، هذا التخصص عن ، ، وصديقاتي أيضا شجعنني وعندما تخرجت من المدرسة كلما قلت لأحد تخصصي شجعني ودائما قالوا إن لدي قدرة ولابد أن أعمل بهذه القدرة .
251,أنا كنت أقوم بواجبي في الحديقة ، ورأيت رجالا يلعبون كرة القدم ، هم لعبوا لوقت . طويل ، وبعد ذلك رأيت بنتا تقرأ كتابا عن الثقافة العربية . ، بعد وقت قصير أنا رأيت أيضا حديث حديثا ، سيارات السيارات الشارع صحاب أصحاب السيارات ، يتكلمون ، في  لوقت وبعد ذلك يقودون عادوا إلى أن بيوتهم ، وأنا ذهبت إلى بعد ، أريت رأيت ، في ، الحديقة . في بيتي أنا شھدت شاهدت ، التلفاز البرنامج أريت ، رأيت ، بناتا ، يتكلمن أصحابھم أصحابهن بعد ذلك أريت رأيت يفعل يقوم بواجبه وبعد أكلنا تناولت ونمنا ونمت
252,يوميات . يوم الأربعاء : اليوم ، ذهبت مع صاحبتي إلى نادي الرقص ، وبعد ثلاتة ثلاث ، رجعنا إلى قاعة نوم النوم الجامع ، الجامعة كثير كثيرا يوم الخميس : اليوم عيد الشكر في الولايات المتحدة ، و وزرت و أكلت وأكلت ثم معهم عامتي و ، تكلمنا عمتي وتكلمنا . يوم كامل : اليوم ، درست كثيرا لكل صفوفي . كتبت كل المواد ، ، و لمادة كل الواجب وعملت . اللغة يوم السبت لمادة اليوم ، يجب أن أحصل على وظيفة جديدة ، فبحثت عن رب العمل جانب جامعة يوتا ، و وجدت وظيفة عند ٥٠٠ ووجدت ٢٣٠ جنوب . 500 شرقا و230 ، جنوبا كثيرا مرى آخرى ، و درست قليل من مرة أخرى لان ودرست ھذه ؛ هناك قليلا على يوم الأثنين الاثنين
253,أجيبوا عن الأسئلة التالية . ( 20 نقطة ) . 1 : ما هو الحمام ؟ هي وما النشاطات الاجتماعية المتعلقة به ؟ الحمام هو مكان أنشأته الحضارة الإسلامية للاستحمام . هدف هذه الحمامات هي التقرب إلى لله تعالى . إنه عمل خيري . تستخدم ، الحمامات للاستحمام كما أنها مكان يجتمع فيه الناس للتحدث والثرثرة . يوجد نوعان من الحمامات : ، حمام خاص للرجال وحمام خاص للنساء ، . قبل حفل الزفاف يذهب العروس والعريس إلى الحمام للاحتفال ، تأخذ عادة النساء أجمل ملابسهن لكي يلبسنها بعد الحمام . 2 : هي ما هو الخان ؟ وما الخدمات الاجتماعية التي يوفرها للناس ؟ الخان هو مكان للإقامة الغير ، الدائمة . الخان عادة يكون متواضعا ولكن . بنى بعض الأمراء في السابق خانات فخمة تقام الخانات في الأسواق التجارية ، عادة . يسكن فيها المسافرون والتجار . الخان أيضا مكان يستطيع . التاجر والمسافر ترك أموالهما أو أغراضهما الغالية فيه
